2019-10-16 7:05:03 - PHP Notice:  Undefined index: product_id1 in C:\xampp1\htdocs\opencart_theme\catalog\controller\extension\module\so_basic_products.php on line 217
2019-10-16 9:02:03 - PHP Notice:  Undefined variable: total in C:\xampp1\htdocs\opencart_theme\catalog\controller\extension\soconfig\cart.php on line 346
2019-10-16 9:03:58 - PHP Notice:  Undefined variable: total in C:\xampp1\htdocs\opencart_theme\catalog\controller\extension\soconfig\cart.php on line 346
2019-10-16 9:06:15 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:23:24 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:23:25 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:34:46 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:39:07 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:39:08 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:39:44 - PHP Notice:  Undefined index: payment_code in C:\xampp1\htdocs\opencart_theme\catalog\controller\rest\order.php on line 105
2019-10-16 23:45:37 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2019-10-16 23:45:38 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp1\htdocs\opencart_theme\system\library\mail\mail.php on line 77
2020-02-18 5:09:30 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sql13e0_a4_4.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-18 5:09:56 - PHP Warning:  fopen(C:/xampp7/htdocs/indiapackage/system/storage/cache/cache.catalog.language.1582006196): failed to open stream: Permission denied in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 49
2020-02-18 5:09:56 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 51
2020-02-18 5:09:56 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 53
2020-02-18 5:09:56 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 55
2020-02-18 5:09:56 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 57
2020-02-18 5:09:56 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 59
2020-02-18 5:15:43 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sql13e0_ec_4.MAD' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-18 5:49:35 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sql13e0_169_a.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-18 6:11:10 - PHP Notice:  Undefined variable: image111 in C:\xampp7\htdocs\indiapackage\system\storage\modification\catalog\controller\product\category.php on line 174
2020-02-18 6:11:10 - PHP Notice:  Undefined variable: image111 in C:\xampp7\htdocs\indiapackage\system\storage\modification\catalog\controller\product\category.php on line 174
2020-02-18 7:20:55 - PHP Notice:  Undefined index: phone in C:\xampp7\htdocs\indiapackage\system\storage\modification\catalog\model\account\address.php on line 66
2020-02-18 7:21:55 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp7\htdocs\indiapackage\system\library\mail\mail.php on line 77
2020-02-18 7:21:56 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp7\htdocs\indiapackage\system\library\mail\mail.php on line 77
2020-02-24 4:44:40 - PHP Warning:  fopen(C:/xampp7/htdocs/indiapackage/system/storage/cache/cache.catalog.language.1582523080): failed to open stream: Permission denied in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 49
2020-02-24 4:44:40 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 51
2020-02-24 4:44:40 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 53
2020-02-24 4:44:40 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 55
2020-02-24 4:44:40 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 57
2020-02-24 4:44:40 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 59
2020-02-24 4:44:40 - PHP Warning:  fopen(C:/xampp7/htdocs/indiapackage/system/storage/cache/cache.catalog.language.1582523080): failed to open stream: Permission denied in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 49
2020-02-24 4:44:40 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 51
2020-02-24 4:44:40 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 53
2020-02-24 4:44:40 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 55
2020-02-24 4:44:40 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 57
2020-02-24 4:44:40 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 59
2020-02-24 9:16:16 - PHP Warning:  fopen(C:/xampp7/htdocs/indiapackage/system/storage/cache/cache.store.1582539376): failed to open stream: Permission denied in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 49
2020-02-24 9:16:16 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 51
2020-02-24 9:16:16 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 53
2020-02-24 9:16:16 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 55
2020-02-24 9:16:16 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 57
2020-02-24 9:16:16 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\xampp7\htdocs\indiapackage\system\library\cache\file.php on line 59
2020-02-24 9:19:57 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sqlb20_d3_6.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-24 23:05:13 - PHP Warning:  mysqli::query(): (HY000/6): Error on delete of 'C:\xampp7\tmp\#sql904_50_6.MAI' (Errcode: 13 &quot;Permission denied&quot;) in C:\xampp7\htdocs\indiapackage\system\library\db\mysqli.php on line 18
2020-02-25 3:36:46 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:36:46 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:37:53 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: name in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
2020-02-25 3:39:03 - PHP Notice:  Undefined index: path in C:\xampp7\htdocs\indiapackage\admin\controller\extension\module\so_basic_products.php on line 122
